,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
IPSCG_E3_P5_IP_k27ac_B15,0.009397689,0.0044335984,-0.0015310794,0.0038949884,0.00934554,0.0016566217,0.0012114495,-0.0009822845,-0.0017878562,-0.00028518587,0.0034547523,-0.001245305,-0.0029420536,0.0024030935,0.006271139,-0.002689883
IPSCG_E3_P5_IP_k27ac_C15,0.011179518,0.0049424805,-0.0039533526,0.0024688467,0.012168664,0.004092388,0.0020177513,-0.0029985532,-0.0026089698,0.0002914928,-4.181266e-05,-0.0013251249,-0.0037797429,0.00041808002,0.004289292,-0.00063867867
IPSCG_E3_P5_IP_k27ac_D15,0.012584172,0.0019954145,-0.006226942,0.0018987432,0.015534498,0.0034460723,0.0028696992,0.0017575324,-0.0031910166,-0.0022937842,0.001030758,-0.0012272075,-0.0010147765,0.0016091112,0.0013611615,-0.0022585616
IPSCG_E3_P5_IP_k27ac_J15,0.007587161,0.008657116,0.00062484294,0.0071236044,0.011799931,0.0048446283,0.0010503829,-0.006546192,0.0013588518,-0.004937213,-0.00048853457,-0.0013030842,-0.0066602323,0.0025924519,0.0016227439,-0.002727203
IPSCG_E3_P5_IP_k27ac_K15,0.014205713,0.0033850707,-0.0030102134,0.0009205155,0.011728455,-0.00018393248,0.0035384297,-0.00027564913,-0.0023977458,0.002677679,-0.0006452501,0.000109637156,-0.003401257,0.0014082268,0.0005964488,-0.0036135241
IPSCG_E3_P5_IP_k27ac_M15,0.009935092,0.0059830733,-0.002440475,0.001448568,0.0089865755,0.0065575987,-0.0010531135,-0.00064508617,-0.0032252818,-0.0023413748,0.0014109239,0.002679985,-0.004508266,0.0049225604,0.0020700693,-0.0025454983
IPSCG_E3_P5_IP_k27ac_N1,0.012509104,-7.432327e-05,-0.007888891,0.0061357096,0.019861024,-0.0022862777,-0.0014821365,0.0006092936,-0.0030029416,-0.0017321147,0.002040796,-0.0005844105,0.0017071553,0.0021187887,0.007650472,-0.00423304
IPSCG_E3_P5_IP_k27ac_N15,0.016098265,0.004626978,-0.0028040633,0.0043474473,0.011785605,-0.001197271,-0.0028961003,-0.0015091002,-0.001404725,-0.004043877,-0.0025795773,0.0011160467,-0.0066483617,-0.0013628397,0.002377756,-0.0044112653
IPSCG_E3_P5_IP_k27ac_N16,0.013770752,0.0035775043,0.0002905503,0.007059891,0.016570613,-0.0029668584,0.002127722,-6.213784e-06,-0.0011776462,-0.005905345,0.0008932203,-3.863685e-05,-0.001991745,-0.0005202666,0.005662732,-0.0046288148
IPSCG_E3_P5_IP_k27ac_N19,0.011944804,0.0067333616,-0.0012440458,0.0002827309,0.01636691,0.0005770251,0.00046609342,-0.004965596,-0.002826929,-0.0029607154,0.0031143501,-0.00048124045,-0.002017578,0.0045816135,0.002045393,-0.0026061088
IPSCG_E3_P5_IP_k27ac_N20,0.007664308,0.0012563281,-0.0050622523,0.0022810139,0.019025749,0.001110144,0.0040197764,0.0005795732,-0.0007655993,-0.0034987815,0.005502172,-0.0029057935,-0.0032001324,0.005655486,0.004711427,-0.0031581968
IPSCG_E3_P5_IP_k27ac_N21,0.011996318,0.0060495846,-0.0072591007,0.0024654157,0.017025642,-0.00267189,0.0013118908,-0.000639081,-0.0034023076,-0.0015246309,0.006311707,-0.0013760887,0.0017575491,0.003758818,0.006269999,-0.0035986453
IPSCG_E3_P5_IP_k27ac_N23,0.011463821,0.007065039,-0.0018763244,-0.0002955161,0.011089907,-0.0049457476,-0.0007604286,-0.0035271123,-0.006265305,0.0021388233,-0.0011326969,-0.001192512,-0.00091363303,-0.001364965,0.0013685152,-0.0013178214
IPSCG_E3_P5_IP_k27ac_N4,0.008308578,0.0040924437,-0.004174508,0.00075545907,0.010678344,-0.0005091205,0.004462704,-0.0010675788,-0.0010036901,-0.004607372,0.00083019584,-0.00047604926,-0.0032940842,0.0023001144,0.0026293173,-0.002806887
IPSCG_E3_P5_IP_k27ac_N5,0.013286132,0.005761314,-0.006887689,0.0012790672,0.01904351,-0.0005299002,0.006789293,0.0008890629,-0.0012008995,-0.002163671,0.0033306181,-0.0016400665,-0.002930481,0.0018429793,0.0010258704,-0.0033082888
IPSCG_E3_P5_IP_k27ac_N7,0.0058699213,0.005811546,-0.0034486577,0.009530168,0.011186146,-0.0016423836,0.0023203976,-0.0009992272,-0.0041966364,-0.0015209392,0.003187187,-0.0027208012,-0.003663171,0.0046532955,0.009260751,-0.0013219044
IPSCG_E3_P5_IP_k27ac_N8,0.008879036,0.007559214,-0.006295584,0.0034493245,0.0148804365,0.0036173537,0.0033911392,-0.0033448339,0.0007385835,-0.0020947307,0.007267326,-3.068708e-05,-0.001286095,0.0076970137,0.005170651,-0.0033315942
IPSCG_E3_P5_IP_k27ac_O15,0.007802896,0.0044273324,-0.002623804,0.000987988,0.005982646,0.0037635267,0.0027032234,-0.00057557225,-0.0060168505,-0.005217187,0.0025229827,0.0017650072,-0.0055509284,0.005539728,0.0010743886,-0.00087580085
IPSCG_E3_P5_IP_k27ac_P15,0.0067140944,0.0061315335,-0.0036991015,0.0044375844,0.00993309,-0.0013065115,-0.0015131049,-0.0022441745,-0.0010531917,-0.0037821569,0.0030247644,0.00019841082,-0.0044811983,0.0059101824,0.0018547922,-0.0014316887
IPSCG_E3_P5_IP_k27ac_K3,0.012652099,0.0019995868,0.0009480864,0.00039292872,0.012416466,0.0035167858,0.005223479,-0.0042816848,0.0011200681,0.00037454814,0.00022190064,-0.0020125993,-0.002546383,0.00020946376,0.0022867993,-0.0028471276
IPSCG_E3_P5_IP_k27ac_E17,0.00655723,0.008161787,-0.0029312,0.001996506,0.013669356,0.0025445968,0.0015783347,-0.004771121,-0.0017372668,-0.0026880763,-0.0002060309,-0.0010736976,-0.0047573,0.00088036247,7.3604286e-05,-0.0013390854
IPSCG_E3_P5_IP_k27ac_E22,0.011912167,0.006657142,-0.0043355897,0.0043739714,0.0178538,0.004012935,0.0038223471,-0.0068493783,-0.003132984,-0.0016660504,0.0021583587,0.002421219,-0.0058806464,0.00015445799,0.0024288297,-0.0032886118
IPSCG_E3_P5_IP_k27ac_I2,0.011095837,0.0009249784,-0.0060804784,0.0034878403,0.013442847,0.001501061,0.00088658184,-0.00019325316,-0.0013191849,-0.0034866333,0.002007693,-0.00078747235,-0.002977686,0.002738377,0.0042827576,-0.0032324418
IPSCG_E3_P5_IP_k27ac_N2,0.010288324,0.005022969,-0.009914242,0.005192589,0.01999018,-0.003340736,0.0030296743,-0.0011437386,0.0012666509,-0.006132245,0.0033600256,-0.0025158767,-0.003213726,0.0018742234,0.0017369613,-0.004197426
IPSCG_E3_P5_IP_k27ac_I1,0.010659125,0.0032165013,-0.0038436055,0.003629364,0.0156168295,0.002176918,0.00077465177,-0.001006946,-0.0031586438,-0.0015905425,0.0005704537,-0.00075162016,-0.0021072552,0.0026540756,0.0067223236,-0.0031678379
IPSCG_E3_P5_IP_k27ac_P3,0.009903487,0.004475694,-0.0010767654,0.002752591,0.008733086,0.0032595173,0.0020404346,-0.00361114,0.0007004291,-0.0009110421,0.0010585636,-0.0029916875,-0.0005682409,0.0032743365,0.0025768057,-0.0009485781
